concepto_cleared,categoria,metodo_algoritmo,explicacion
servicios gestion cobro \ngestion cartera concepto pago infracciones morosas,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicios de gestión profesional para la cobranza de cartera vencida o en mora.
servicios gestion cobro \nacuerdos pago,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicios profesionales dedicados a la gestión y formalización de acuerdos de pago sobre obligaciones financieras.
desmonte sanitario evacuacion agua sondeo sonda electrica,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico operativo de mantenimiento correctivo en redes sanitarias, no clasificado en categorías especializadas."
retiro tapon sondeo sonda electrica evacuacion residuos sondeo limpieza aerea,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mantenimiento técnico para limpieza y destape de redes o conductos.
servicio cctv hidroget,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico especializado para mantenimiento o inspección, clasificado como operativo general."
pin impreso recubrimiento plastico,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, material publicitario o elemento corporativo inventariable."
contrato obra acta obra final objeto ejecutar actividades posventa instituciones educativas etc cali departamento valle cauca requeridas ffie desarrollo pnie correspondiente mes caicedo tellez sede batalla carabobomunicipio cali antonio jose camacho republica peru municipio cali politecnico municipal sede principal municipio cali eustaquio palacios sede general anzoategui municipio cali republica argentina sede sebastian belalcazar municipio cali periodo correspondiente mes costo venta,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Ejecución de actividades contractuales de obra civil, posventa y mantenimiento en infraestructura educativa."
utilidad iva utilidad,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto indeterminado asociado a márgenes financieros de contratos, sin especificación del servicio prestado."
estudios diseños iva estudios diseños,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios técnicos de diseño y estudios de ingeniería aplicados a proyectos de infraestructura.
acta acta recibo parcial contrato obra objeto realizar ejecucion obras infraestructura educativa departamento choco requeridas,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Ejecución de obras de infraestructura física en instituciones educativas mediante contrato de construcción.
caja direccion,Compras Generales,gemini-3.1-flash-lite-preview,"Es un bien tangible, específicamente un repuesto o insumo automotriz, susceptible de ser almacenado e inventariado."
buje varilla estabilizadora delantera,Compras Generales,gemini-3.1-flash-lite-preview,"Corresponde a un repuesto mecánico para vehículos, clasificado como bien tangible de uso general."
amortiguador delantero,Compras Generales,gemini-3.1-flash-lite-preview,"Componente físico o repuesto vehicular, clasificado dentro de la adquisición de bienes muebles generales."
miembro suspension,Compras Generales,gemini-3.1-flash-lite-preview,"Elemento estructural de suspensión vehicular, considerado bien tangible para la operación o mantenimiento."
gemela buje ambos lados,Compras Generales,gemini-3.1-flash-lite-preview,"Pieza o repuesto metálico para vehículos, categorizado como bien tangible de uso general."
costo variable avance,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto genérico sin información suficiente que permita clasificarlo en una categoría especializada, requiriendo clasificación provisional."
pago correspondiente acta parcial,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,El pago mediante actas de obra parcial es característico de contratos de construcción o ejecución de obras.
administracion colegios,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Implica la gestión administrativa o delegada de procesos en una entidad, típica de servicios de consultoría o administración."
utilidad consorcio,Servicios Generales,gemini-3.1-flash-lite-preview,"Representa un componente de margen o retribución dentro de una estructura contractual, clasificado genéricamente por falta de especificidad."
servicios prestados,Servicios Generales,gemini-3.1-flash-lite-preview,Descripción extremadamente ambigua y genérica que no permite identificar una naturaleza de servicio específica.
canon arrendamiento oficinas torre cci mes mes,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,El pago por el uso temporal de oficinas constituye explícitamente un contrato de arrendamiento de inmuebles.
acta obra contrato periodo comprendido mes mes institucion educativa sagrada familia apia,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Refiere explícitamente a la ejecución de obra civil en una institución educativa, bajo la modalidad de contrato."
corriente,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El término es ambiguo y no define un objeto, servicio o bien claro, imposibilitando su clasificación tributaria."
servicios instalacion equipos,Servicios Generales,gemini-3.1-flash-lite-preview,Prestación de un servicio técnico de instalación que no clasifica específicamente en categorías de construcción o consultoría.
reajuste incremento canon mes comision canon ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Ajustes financieros y comisiones directamente vinculados a un contrato de arrendamiento de inmuebles.
reajuste incremento canon mes comision iva ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,"El concepto hace referencia a un reajuste en el canon, lo cual está vinculado al arrendamiento de inmuebles."
baby beef,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Se trata de un plato o producto de alimentación preparado, común en servicios de restaurantes."
porc dedit queso unid,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"El queso es un derivado lácteo primario, clasificable dentro de productos agropecuarios."
milhoja,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Es un producto de pastelería consumido generalmente en el contexto de restaurantes o servicios de alimentación.
palmi vegetales gratin,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Plato de alimentación preparado, correspondiente a servicios de restaurantes o catering."
chorizo gaucho,Compras Generales,gemini-3.1-flash-lite-preview,Producto alimenticio procesado que no califica como producto agrícola primario ni servicio de restaurante directo.
servicios mes actual,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto genérico sin descripción suficiente para categorización específica.
renta mensual consumo voz,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de telecomunicaciones que no cuenta con una categoría específica en la lista.
ajustes,Servicios Generales,gemini-3.1-flash-lite-preview,Descripción ambigua de naturaleza contable sin detalle suficiente para clasificar.
abono mpls nal indisp servicio internet dedicado ucaas webex calling trafico seguro iaas vdc centro gestion personalizado aplicaciones almacenamiento rpv mpls nacional telefonia gestion,Servicios Generales,gemini-3.1-flash-lite-preview,"Conjunto de servicios tecnológicos, internet y telecomunicaciones, no tipificados en las categorías específicas."
cargos exentos,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto financiero o contable ambiguo sin especificación de servicio o bien.
ldn cargo fijo cargo basico desc ldn,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de telecomunicaciones (Larga Distancia Nacional) sin categoría propia definida.
intereses deuda subordinada mes,Servicios Generales,gemini-3.1-flash-lite-preview,Gasto financiero por intereses que no constituye un rendimiento financiero recibido por el contribuyente.
ani mes,Servicios Generales,gemini-3.1-flash-lite-preview,Abreviatura no definida sin información suficiente para categorizar.
limpieza marquesina ventaneria aseo fino proyecto caluce suba,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Corresponde explícitamente a actividades de aseo y limpieza de instalaciones.
operacion logistica velaton yeison jimenez complejo cultural deportivo campin unidad funcional cero,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio logístico para un evento, el cual no encaja en categorías especializadas como transporte o consultoría."
lasagna,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Alimento preparado listo para el consumo, asociado a la actividad de restaurantes y servicios de alimentación."
ginger scheweppes,Compras Generales,gemini-3.1-flash-lite-preview,"Bebida gaseosa embotellada, clasificada como bien tangible de consumo masivo."
milanesa pollo,Compras Generales,gemini-3.1-flash-lite-preview,"Producto alimenticio con proceso de transformación (empanado), no es producto agropecuario en estado primario."
elemento filtro aceite,Compras Generales,gemini-3.1-flash-lite-preview,Repuesto o insumo tangible necesario para el mantenimiento de maquinaria o vehículos.
arandela,Compras Generales,gemini-3.1-flash-lite-preview,Elemento de ferretería considerado como insumo físico o suministro corporal.
revision preventiva,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de mantenimiento técnico sin especificar el activo, clasificado por defecto como servicio general."
insumos,Compras Generales,gemini-3.1-flash-lite-preview,Término genérico que hace referencia a bienes tangibles o materiales de inventario de uso general.
poliestileno calibre impresion,Compras Generales,gemini-3.1-flash-lite-preview,"Material físico (sustrato) utilizado para impresión, categorizado como bien tangible de inventario."
fot imp color dbcarta bond adhesivo,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de impresión comercial que incluye materiales, categorizado como servicio general de artes gráficas."
laminacion rollo calibre frio,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico de acabado o post-impresión sobre materiales, sin ser una venta de bien tangible."
poliestireno calibre impresion,Compras Generales,gemini-3.1-flash-lite-preview,"Material o insumo físico para impresión, clasificado como suministro de inventario."
transporte mercancia vehiculo carry bogota viaje,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,Servicio explícito de movilización y traslado de mercancías o insumos por vía terrestre.
corte cama plana cuchilla,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio operativo de transformación o corte industrial, clasificado como servicio general."
